"","family","genus","species","taxonomic.rank","taxon","LME","FAO","habitat","reference.habitat","feeding.mode","reference.feeding.mode","tl","level.tl","reference.tl","body.shape","fin.shape","AR","level.AR","reference.AR","offspring.size","level.offspring.size","reference.offspring.size","spawning.type","reference.spawning.type","age.maturity","level.age.maturity","reference.age.maturity","fecundity","level.fecundity","reference.fecundity","length.infinity","growth.coefficient","level.growth","reference.growth","length.max","level.length.max","reference.length.max","age.max","level.age.max","reference.age.max"
"39","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"40","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"41","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"42","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"43","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"44","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"45","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"243","Ammodytidae","Ammodytes","","G","Ammodytes",7,21,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",2.3,"gen-ocean","FroesePauly2019",10630,"gen-ocean","FroesePauly2018",26,0.34,"gen-FAO","FroesePauly2018",33,"gen-FAO","FroesePauly2018",10.5,"gen-FAO","FroesePauly2018"
"244","Ammodytidae","Ammodytes","","G","Ammodytes",20,27,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",3.2,"gen-FAO","FroesePauly2019",12450,"gen-FAO","FroesePauly2018",19,0.55,"gen-FAO","FroesePauly2018",23,"gen-LME","FroesePauly2018",7.7,"gen-FAO","FroesePauly2018"
"245","Ammodytidae","Ammodytes","","G","Ammodytes",22,27,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",3.2,"gen-FAO","FroesePauly2019",12450,"gen-FAO","FroesePauly2018",19,0.55,"gen-FAO","FroesePauly2018",18,"gen-LME","FroesePauly2018",7.7,"gen-FAO","FroesePauly2018"
