1995;1996;1997;1998;1999;2000;2001;2002;2008;2009;2010;2017;2018;2019
37;30;37;21;1;38;40;1;12;15;34;12;12;12
31;33;3;18;4;3;3;2;15;3;8;15;15;15
35;32;2;19;3;2;2;3;14;2;9;14;14;14
36;31;1;20;2;1;1;4;13;1;10;13;13;13
38;29;36;22;40;39;41;5;11;14;35;11;11;11
48;28;35;40;41;40;42;6;27;13;NA;27;27;27
NA;55;42;10;26;28;37;7;37;34;32;37;37;37
1;56;41;9;25;29;36;8;36;33;31;36;36;36
NA;65;NA;NA;NA;30;28;9;35;31;30;35;35;35
2;16;33;8;29;31;24;10;34;NA;25;34;34;34
17;17;16;1;36;33;35;11;42;NA;NA;NA;NA;NA
18;18;17;2;35;34;34;12;43;NA;NA;NA;NA;NA
19;19;18;3;NA;35;33;13;44;26;43;43;43;43
NA;NA;19;4;33;36;32;14;46;45;28;45;45;45
20;20;20;5;32;37;30;15;47;NA;NA;46;46;46
NA;NA;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;47;47
NA;NA;15;6;30;32;29;17;33;30;24;33;33;33
24;40;12;11;37;27;38;18;32;24;21;32;32;32
46;39;11;39;38;26;39;19;31;39;36;31;31;31
45;15;43;42;NA;NA;47;20;25;41;37;25;25;25
NA;25;34;41;42;41;43;21;26;40;38;26;26;26
NA;43;13;36;20;24;26;22;10;26;23;10;10;10
26;42;14;35;27;25;27;23;30;25;22;30;30;30
3;54;31;23;28;23;25;24;24;27;40;24;24;24
32;7;9;12;10;9;9;25;7;9;2;7;7;7
NA;6;8;13;9;8;8;26;5;3;7;5;5;5
NA;5;7;14;8;7;7;27;6;4;8;6;6;6
NA;4;6;15;7;6;6;28;4;6;5;4;4;4
NA;2;5;16;6;5;5;29;3;5;6;3;3;3
33;35;4;17;5;4;4;30;2;4;7;2;2;2
NA;8;10;30;11;10;10;31;8;10;1;8;8;8
NA;36;38;31;12;11;14;32;1;16;11;1;1;1
6;9;24;32;15;15;15;33;9;11;14;9;9;9
7;10;23;29;16;16;11;34;18;12;20;18;18;18
NA;11;25;33;17;14;16;35;17;17;33;17;17;17
5;45;39;37;NA;13;13;36;29;29;12;29;29;29
28;NA;40;38;13;12;12;37;28;13;28;28;28;28
NA;NA;32;24;24;21;23;38;22;22;16;22;22;22
11;49;29;25;23;22;22;39;21;23;17;21;21;21
10;51;30;26;22;20;21;40;23;21;18;23;23;23
9;48;28;27;21;19;19;41;20;20;15;20;20;20
8;47;27;28;NA;17;18;42;19;19;19;19;19;19
4;46;26;34;18;18;17;43;16;18;39;16;16;16
NA;13;45;44;45;43;45;45;41;36;42;41;41;41
43;12;46;43;44;42;46;46;40;37;43;40;40;40
39;14;44;45;46;44;44;47;38;35;41;38;38;38
12;50;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;31;NA;NA;NA;NA;NA;NA;NA
27;44;NA;NA;14;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;21;NA;7;31;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;39;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;39;38;44;39;39;39
NA;NA;NA;NA;NA;NA;NA;NA;45;44;27;44;44;44
