Year;Day;01;02;03;04;05;06;07;08;09;10;11;12
1995;1;722.00;1910.00;1530.00;1210.00;1090.00;577.00;295.00;242.00;227.00;322.00;308.00;238.00
1995;2;789.00;1970.00;1500.00;1150.00;1120.00;519.00;403.00;215.00;235.00;301.00;329.00;257.00
1995;3;814.00;2010.00;1440.00;1140.00;1090.00;500.00;455.00;224.00;205.00;380.00;328.00;237.00
1995;4;800.00;2020.00;1360.00;1150.00;988.00;525.00;360.00;230.00;218.00;310.00;272.00;226.00
1995;5;750.00;1990.00;1340.00;1150.00;953.00;559.00;386.00;200.00;225.00;338.00;265.00;246.00
1995;6;792.00;1960.00;1340.00;1100.00;922.00;515.00;380.00;194.00;224.00;413.00;264.00;251.00
1995;7;690.00;1920.00;1330.00;1050.00;920.00;516.00;355.00;196.00;288.00;439.00;213.00;212.00
1995;8;667.00;1850.00;1360.00;1020.00;745.00;520.00;306.00;219.00;338.00;370.00;215.00;195.00
1995;9;619.00;1740.00;1360.00;964.00;758.00;541.00;281.00;296.00;274.00;407.00;268.00;195.00
1995;10;627.00;1580.00;1290.00;925.00;783.00;529.00;301.00;271.00;278.00;374.00;263.00;194.00
1995;11;753.00;1480.00;1220.00;840.00;760.00;477.00;349.00;246.00;265.00;342.00;248.00;192.00
1995;12;926.00;1410.00;1120.00;840.00;722.00;496.00;270.00;212.00;268.00;336.00;238.00;179.00
1995;13;1050.00;1320.00;1110.00;735.00;836.00;445.00;304.00;235.00;268.00;304.00;273.00;195.00
1995;14;963.00;1270.00;993.00;704.00;705.00;445.00;371.00;226.00;259.00;318.00;244.00;190.00
1995;15;1070.00;1250.00;971.00;634.00;720.00;401.00;383.00;212.00;293.00;293.00;289.00;174.00
1995;16;1050.00;1270.00;966.00;639.00;695.00;402.00;351.00;234.00;303.00;288.00;240.00;177.00
1995;17;921.00;1320.00;942.00;673.00;733.00;388.00;297.00;236.00;314.00;380.00;258.00;174.00
1995;18;1030.00;1350.00;935.00;650.00;746.00;391.00;323.00;215.00;323.00;267.00;258.00;188.00
1995;19;1130.00;1330.00;1120.00;698.00;826.00;417.00;258.00;211.00;302.00;281.00;261.00;210.00
1995;20;1120.00;1330.00;1240.00;708.00;855.00;416.00;319.00;217.00;285.00;284.00;309.00;220.00
1995;21;1100.00;1340.00;1380.00;718.00;792.00;394.00;324.00;215.00;260.00;295.00;291.00;284.00
1995;22;1200.00;1300.00;1420.00;808.00;732.00;391.00;238.00;219.00;260.00;264.00;313.00;387.00
1995;23;1320.00;1280.00;1470.00;791.00;689.00;380.00;279.00;205.00;277.00;270.00;294.00;399.00
1995;24;1400.00;1300.00;1460.00;808.00;643.00;358.00;351.00;218.00;254.00;289.00;280.00;430.00
1995;25;1470.00;1360.00;1380.00;927.00;627.00;380.00;330.00;241.00;259.00;304.00;264.00;513.00
1995;26;1530.00;1450.00;1330.00;985.00;635.00;385.00;283.00;228.00;281.00;278.00;279.00;598.00
1995;27;1600.00;1520.00;1320.00;1100.00;601.00;345.00;323.00;236.00;291.00;245.00;252.00;683.00
1995;28;1720.00;1540.00;1320.00;1200.00;597.00;317.00;259.00;234.00;267.00;257.00;240.00;655.00
1995;29;1820.00;;1330.00;1160.00;649.00;341.00;281.00;242.00;294.00;259.00;230.00;646.00
1995;30;1910.00;;1310.00;1120.00;567.00;316.00;266.00;227.00;375.00;270.00;229.00;532.00
1995;31;1950.00;;1260.00;;608.00;;236.00;228.00;;282.00;;540.00
1996;1;466.00;321.00;597.00;232.00;151.00;261.00;107.00;150.00;182.00;249.00;158.00;992.00
1996;2;443.00;382.00;596.00;241.00;199.00;205.00;78.40;167.00;170.00;161.00;140.00;1120.00
1996;3;420.00;331.00;547.00;254.00;163.00;175.00;79.10;139.00;166.00;222.00;159.00;1090.00
1996;4;397.00;275.00;516.00;205.00;153.00;235.00;109.00;104.00;131.00;188.00;168.00;1190.00
1996;5;419.00;370.00;467.00;212.00;151.00;250.00;289.00;149.00;162.00;161.00;196.00;1130.00
1996;6;423.00;368.00;439.00;198.00;151.00;243.00;127.00;186.00;130.00;124.00;177.00;1050.00
1996;7;442.00;319.00;474.00;200.00;207.00;161.00;163.00;122.00;130.00;182.00;206.00;1120.00
1996;8;444.00;321.00;427.00;186.00;208.00;154.00;185.00;146.00;135.00;166.00;274.00;1050.00
1996;9;506.00;320.00;408.00;206.00;209.00;153.00;139.00;83.10;128.00;171.00;208.00;1060.00
1996;10;478.00;359.00;414.00;195.00;198.00;218.00;121.00;129.00;106.00;150.00;306.00;1000.00
1996;11;485.00;345.00;383.00;226.00;209.00;192.00;196.00;189.00;128.00;152.00;401.00;942.00
1996;12;568.00;410.00;401.00;232.00;214.00;155.00;154.00;132.00;136.00;125.00;383.00;858.00
1996;13;579.00;481.00;403.00;271.00;214.00;153.00;152.00;242.00;150.00;169.00;484.00;734.00
1996;14;555.00;659.00;373.00;244.00;194.00;132.00;89.80;161.00;138.00;144.00;438.00;723.00
1996;15;509.00;663.00;362.00;221.00;219.00;101.00;191.00;182.00;129.00;242.00;563.00;683.00
1996;16;477.00;733.00;324.00;190.00;166.00;70.40;114.00;153.00;114.00;170.00;577.00;633.00
1996;17;424.00;682.00;380.00;193.00;279.00;137.00;95.60;119.00;110.00;182.00;549.00;638.00
1996;18;429.00;605.00;332.00;200.00;201.00;163.00;127.00;152.00;148.00;176.00;589.00;564.00
1996;19;341.00;618.00;329.00;207.00;287.00;189.00;128.00;143.00;227.00;165.00;553.00;658.00
1996;20;357.00;647.00;338.00;208.00;368.00;124.00;94.70;161.00;175.00;164.00;614.00;578.00
1996;21;407.00;727.00;274.00;224.00;234.00;73.50;184.00;176.00;109.00;164.00;675.00;631.00
1996;22;361.00;706.00;361.00;224.00;245.00;118.00;89.00;223.00;118.00;168.00;699.00;640.00
1996;23;395.00;695.00;340.00;229.00;244.00;159.00;124.00;155.00;179.00;150.00;697.00;612.00
1996;24;372.00;639.00;364.00;144.00;241.00;181.00;117.00;172.00;168.00;121.00;674.00;585.00
1996;25;395.00;644.00;282.00;162.00;236.00;136.00;146.00;165.00;169.00;179.00;752.00;582.00
1996;26;399.00;708.00;317.00;171.00;249.00;99.40;75.60;143.00;193.00;199.00;726.00;586.00
1996;27;340.00;651.00;319.00;228.00;238.00;83.60;98.80;147.00;170.00;142.00;755.00;586.00
1996;28;338.00;601.00;295.00;151.00;223.00;77.20;160.00;162.00;117.00;176.00;843.00;575.00
1996;29;342.00;580.00;280.00;190.00;272.00;114.00;168.00;278.00;145.00;166.00;860.00;503.00
1996;30;291.00;;224.00;216.00;303.00;152.00;107.00;202.00;153.00;148.00;898.00;474.00
1996;31;241.00;;190.00;;167.00;;116.00;182.00;;136.00;;478.00
1997;1;470.00;381.00;1190.00;390.00;157.00;167.00;431.00;259.00;209.00;164.00;136.00;408.00
1997;2;448.00;380.00;1060.00;363.00;198.00;136.00;444.00;257.00;170.00;139.00;136.00;538.00
1997;3;420.00;367.00;1060.00;300.00;230.00;155.00;489.00;211.00;200.00;144.00;136.00;489.00
1997;4;425.00;341.00;1090.00;291.00;182.00;158.00;516.00;211.00;234.00;134.00;130.00;513.00
1997;5;417.00;364.00;1100.00;284.00;226.00;136.00;500.00;251.00;271.00;136.00;109.00;510.00
1997;6;408.00;367.00;1110.00;258.00;326.00;149.00;495.00;500.00;221.00;117.00;177.00;483.00
1997;7;403.00;380.00;1070.00;318.00;287.00;199.00;461.00;270.00;245.00;241.00;311.00;465.00
1997;8;351.00;416.00;1010.00;294.00;399.00;133.00;413.00;312.00;254.00;144.00;264.00;468.00
1997;9;385.00;377.00;935.00;262.00;436.00;185.00;402.00;241.00;216.00;167.00;354.00;445.00
